distrito,precio_venta_m2,precio_alquiler_m2
Centro - Juan Flórez - Plaza Pontevedra,3.590 €/m²,1.254 €
Los Castros - Castrillón - Eiris,2.246 €/m²,11 €/m²
Monte Alto - Zalaeta - Atocha,3.422 €/m²,12 €/m²
Agra del Orzán - Ventorrillo - Vioño,2.218 €/m²,10 €/m²
Someso - Matogrande,2.457 €/m²,11 €/m²
Cuatro Caminos - Plaza de la Cubela,2.535 €/m²,13 €/m²
Riazor - Los Rosales,3.242 €/m²,10 €/m²
Os Mallos,2.304 €/m²,12 €/m²
Ciudad Vieja ,4.521 €/m²,14 €/m²
Sagrada Familia,2.207 €/m²,12 €/m²
Elviña - A Zapateira,2.917 €/m²,12 €/m²
Vioño,2.917 €/m²,12 €/m²
Mesoiro,2.917 €/m²,12 €/m²
